description,issue_type
How can I enroll in a faculty course development program?,Enrollment
Tolong tandatangan borang permohonan program luar negara saya.,Signature
Apakah peraturan untuk memohon biasiswa bagi pelajar dengan kecacatan?,Scholarship
Tolong tandatangan surat permohonan untuk latihan industri saya.,Signature
Saya perlukan transkrip saya untuk urusan visa,Transcript
Can you sign my department scholarship application?,Signature
Can I take my personal belongings into the exam room?,Examination
Bagaimana cara saya untuk mendapatkan transkrip jika saya tidak mempunyai akses ke portal pelajar?,Transcript
Would you sign my official letter for the career office?,Signature
Could you explain the process for securing a scholarship?,Scholarship
Can I get my transcript for my internship report submission?,Transcript
Boleh beri maklumat mengenai proses pendaftaran?,Enrollment
What scholarships are available for students pursuing a law degree?,Scholarship
Is there an enrollment guide for first-year students?,Enrollment
How do I access the career counseling services?,Other
What’s the best way to network with alumni?,Other
Can I apply for a scholarship if I don’t have an outstanding academic record?,Scholarship
I need your signature to complete my request.,Signature
Can I apply for a scholarship if I have a part-time job?,Scholarship
Can you sign this certification letter?,Signature
Where can I find the exam schedule?,Examination
What is the faculty enrollment process for the academic year?,Enrollment
Do scholarships for international students cover travel expenses?,Scholarship
My grade report isn’t showing,Transcript
Can I bring a friend into the exam room for support?,Examination
Do scholarships for international students cover travel expenses?,Scholarship
Could you sign my student club registration form?,Signature
Could you sign my grade appeal form?,Signature
Tolong sahkan permohonan ini dengan tandatangan anda.,Signature
Can I enroll in a program to improve my pedagogical skills?,Enrollment
Can I get my transcript sent directly to my new employer?,Transcript
How do I apply to register for a teaching innovation seminar?,Enrollment
Can I request an extension for my academic deadlines?,Other
Do I need to maintain a certain GPA to keep my scholarship?,Scholarship
How do I request a transcript for my study abroad program?,Transcript
What are the options for on-campus housing?,Other
How do I change my course selection?,Enrollment
How do I apply for a scholarship to cover my study abroad program?,Scholarship
Can I get a recommendation for a summer program?,Other
Bolehkah anda bantu saya mendapatkan salinan transkrip akademik saya?,Transcript
Bolehkah saya mendapatkan salinan transkrip untuk persidangan profesional?,Transcript
Please sign my leave request for family reasons.,Signature
What is the procedure for retaking a failed exam?,Examination
Apakah jenis biasiswa yang tersedia untuk pelajar dari kawasan luar bandar?,Scholarship
Can I speak to the exam invigilator during the exam?,Examination
Bolehkah anda bantu saya mencari sumber untuk projek saya?,Other
Where can I apply for student housing?,Other
Saya perlukan transkrip saya untuk permohonan pekerjaan.,Transcript
Bolehkah saya memohon beberapa biasiswa sekaligus?,Scholarship
How do I apply for faculty enrollment in advanced research programs?,Enrollment
Adakah ada pengawasan semasa peperiksaan?,Examination
What scholarships are available for students pursuing a career in technology?,Scholarship
Bagaimana saya boleh mengetahui keputusan peperiksaan saya?,Examination
Where can I register for workshops on faculty development?,Enrollment
Where can I apply for faculty development grants?,Enrollment
Can I still register if I miss the first class?,Enrollment
Adakah terdapat biasiswa untuk pelajar yang merupakan veteran?,Scholarship
Apakah syarat untuk memohon biasiswa?,Scholarship
Do I need to submit any essays for scholarships?,Scholarship
How do I sign up for faculty-led skills development sessions?,Enrollment
Where can I find the course registration portal?,Enrollment
Would you sign my degree audit request?,Signature
Can I request a transcript for all of my completed courses?,Transcript
Do I need to reapply for the same scholarship every year?,Scholarship
Can I enroll in a course as a faculty member?,Enrollment
Can I enroll in a course as a faculty member?,Enrollment
Bolehkah saya membawa pen dan kertas ke peperiksaan?,Examination
Tolong tandatangan borang permohonan pekerjaan pelajar saya.,Signature
What’s the exam schedule like?,Examination
Bolehkah saya memohon beberapa biasiswa sekaligus?,Scholarship
Apa yang berlaku jika saya tumpahkan sesuatu semasa peperiksaan?,Examination
Adakah biasiswa meliputi perbelanjaan hidup atau hanya yuran pengajian?,Scholarship
Where can I apply for student housing?,Other
Saya memerlukan tandatangan anda untuk proses ini.,Signature
Can I sign up for a faculty-focused conference on academic integrity?,Enrollment
Can you sign my study permit application?,Signature
Bolehkah saya mendapatkan transkrip dihantar kepada agensi pihak ketiga?,Transcript
Bolehkah saya memohon transkrip jika saya sedang bercuti?,Transcript
Di manakah saya boleh mendapatkan maklumat mengenai aksesibiliti kampus?,Other
Bolehkah saya menulis pada kertas peperiksaan itu sendiri?,Examination
Bolehkah saya memohon format peperiksaan yang berbeza?,Examination
Adakah peperiksaan ini menggunakan sistem soalan aneka pilihan?,Examination
Adakah terdapat sebarang sekatan mengenai barang yang boleh dibawa ke dalam bilik peperiksaan?,Examination
I need your signature on this travel request form.,Signature
How do I join a writing group on campus?,Other
What happens if I forget to bring my ID to the exam?,Examination
Where do I submit my course enrollment requests as a faculty member?,Enrollment
Bolehkah anda tandatangan permohonan pertukaran pelajar saya?,Signature
Can I get your signature on this form?,Signature
Adakah saya boleh membawa pengecas untuk peranti elektronik ke dalam bilik peperiksaan?,Examination
What are the allowed items for a take-home exam?,Examination
Can I use a calculator for the entire exam?,Examination
Where can I find the exam schedule?,Examination
Berapa nilai biasiswa yang saya mohon?,Scholarship
Bolehkah saya menggunakan pen tinggi semasa peperiksaan?,Examination
How can I get a scholarship to study engineering?,Scholarship
How do I enroll in interdisciplinary teaching programs?,Enrollment
Bagaimana saya memohon biasiswa jika saya pelajar pemindahan?,Scholarship
Sudi tak tandatangan borang kebenaran ini?,Signature
What are the guidelines for the use of university resources?,Other
How do I enroll in an advanced faculty course on research methods?,Enrollment
How do I apply for enrollment in faculty teaching programs?,Enrollment
How do I submit an article to the student newspaper?,Other
What is the registration process for new students?,Enrollment
Can I enroll in a course as a faculty member?,Enrollment
Would you sign my research grant application?,Signature
How do I cancel my exam registration?,Examination
Can I get a copy of my transcript for a professional conference?,Transcript
Would you sign my travel allowance request form?,Signature
Can I get your signature for my housing renewal form?,Signature
Bolehkah anda tandatangan surat permohonan untuk beasiswa saya?,Signature
Please sign this release form.,Signature
Apakah keperluan untuk menduduki peperiksaan dalam talian?,Examination
Boleh beri maklumat mengenai proses pendaftaran?,Enrollment
What’s the procedure to enroll in a faculty course design seminar?,Enrollment
Where can I learn more about student leadership programs?,Other
Would you sign my course withdrawal form?,Signature
Would you sign my course withdrawal form?,Signature
Bolehkah anda bantu saya mencari sumber untuk projek saya?,Other
Would you sign my participation confirmation for a conference?,Signature
Could you provide me with a copy of my most recent transcript?,Transcript
Where can I find a list of student scholarships?,Other
Adakah terdapat biasiswa untuk pelajar yang mengejar ijazah dalam bidang pendidikan?,Scholarship
I’m having trouble with my course enrollment,Enrollment
Bolehkah anda bantu saya mencari sumber untuk projek saya?,Other
How can I find out about upcoming guest speakers on campus?,Other
Saya perlukan bantuan mengenai petua pengurusan masa.,Other
Bolehkah saya terlibat dalam program keusahawanan?,Other
Apakah garis panduan untuk bekerja semasa belajar?,Other
Can international students apply for local scholarships?,Scholarship
How can I apply for enrollment in a faculty sabbatical program?,Enrollment
Could you sign my application form?,Signature
Can I obtain a transcript for my application to a scholarship program?,Transcript
How can I get a copy of my transcript?,Transcript
Adakah terdapat biasiswa untuk pelajar dengan kecacatan?,Scholarship
Bolehkah saya memohon transkrip jika saya belum tamat pengajian?,Transcript
Bagaimana cara saya mendapatkan salinan transkrip untuk temuduga kerja?,Transcript
Can you sign my off-campus housing contract?,Signature
What are the guidelines for the use of university resources?,Other
Bolehkah anda memberikan lebih banyak maklumat mengenai bantuan kewangan pelajar?,Other
What is the procedure for retaking a failed exam?,Examination
Sudi tak tandatangan petisyen ini?,Signature
Could you provide me with a transcript of my courses from last year?,Transcript
Can I change my student ID photo?,Other
Are there scholarships for students in the social sciences?,Scholarship
Bagaimana saya memohon biasiswa untuk program pengajian di luar negara?,Scholarship
Apakah prosedur untuk menyerahkan lembaran jawapan peperiksaan saya?,Examination
Where can I get a copy of the student handbook?,Other
Bagaimana cara saya mengetahui jika permohonan transkrip saya telah diproses?,Transcript
Can you sign my course substitution form?,Signature
Bagaimana cara saya mengesahkan keaslian transkrip saya?,Transcript
Apa yang perlu dibawa ke bilik peperiksaan?,Examination
